YearSold,MonthSold,Count
2006,1,10
2006,2,9
2006,3,25
2006,4,27
2006,5,38
2006,6,48
2006,7,67
2006,8,23
2006,9,15
2006,10,24
2006,11,16
2006,12,12
2007,1,13
2007,2,8
2007,3,23
2007,4,23
2007,5,43
2007,6,59
2007,7,51
2007,8,40
2007,9,11
2007,10,16
2007,11,24
2007,12,18
2008,1,13
2008,2,10
2008,3,18
2008,4,26
2008,5,38
2008,6,51
2008,7,49
2008,8,29
2008,9,17
2008,10,22
2008,11,17
2008,12,14
2009,1,12
2009,2,10
2009,3,19
2009,4,26
2009,5,37
2009,6,59
2009,7,61
2009,8,30
2009,9,20
2009,10,27
2009,11,22
2009,12,15
2010,1,10
2010,2,15
2010,3,21
2010,4,39
2010,5,48
2010,6,36
2010,7,6
2010,8,0
2010,9,0
2010,10,0
2010,11,0
2010,12,0
